,RH,Dp,RI,GF,kappa
count,34.0,34.0,34.0,34.0,34.0
mean,84.97284411764706,200.0,1.557194117647059,1.3641470588235294,0.2736384448230885
min,84.3378,200.0,1.5315,1.2317,0.1586944013956513
25%,84.5338,200.0,1.547675,1.3325749999999998,0.2352526942819191
50%,84.99975,200.0,1.55695,1.35935,0.27294903899323175
75%,85.278775,200.0,1.5672,1.389,0.3037659865664539
max,86.0917,200.0,1.5847,1.4587,0.3650451022826715
std,0.4390985174134072,0.0,0.01303142916826692,0.04822734817818068,0.0476819166845391
