,RH,Dp,RI,GF,kappa
count,26.0,26.0,26.0,26.0,26.0
mean,85.22661923076923,296.15384615384613,1.5446692307692307,1.373357692307692,0.28626349742606716
min,84.6119,180.0,1.5128,1.1965,0.1222307524758743
25%,84.90655000000001,200.0,1.538625,1.3209,0.21802164121357379
50%,85.18605,225.0,1.546,1.3426,0.24882622964129814
75%,85.458725,350.0,1.5537999999999998,1.436475,0.32902573079785846
max,86.0475,600.0,1.5663,1.6916,0.6699844620605973
std,0.4116044266226774,139.51564566246822,0.012014017453983308,0.11917666608217209,0.13345485516037284
