,RH,Dp,RI,GF,kappa
count,2.0,2.0,2.0,2.0,2.0
mean,86.05855,200.0,1.53815,1.21245,0.12610381952173266
min,85.3444,200.0,1.5264,1.1655,0.1001495369926503
25%,85.70147499999999,200.0,1.532275,1.1889750000000001,0.11312667825719147
50%,86.05855,200.0,1.53815,1.21245,0.12610381952173266
75%,86.415625,200.0,1.544025,1.235925,0.13908096078627383
max,86.7727,200.0,1.5499,1.2594,0.152058102050815
std,1.0099606155687508,0.0,0.016617009357883922,0.06639732675341688,0.036704898354291325
