,Time_Start,Time_Stop,Time_Mid,RH,Dp,RI,GF,kappa
40,2024-06-10 11:43:46,2024-06-10 11:44:13,2024-06-10 11:43:59.500,86.6413,200,1.5483,1.2767,0.16666880945450224
41,2024-06-10 11:46:43,2024-06-10 11:47:07,2024-06-10 11:46:55.000,83.1558,180,1.5343,1.1849,0.13441714322109952
42,2024-06-10 11:47:50,2024-06-10 11:48:20,2024-06-10 11:48:05.000,83.5839,200,1.5465,1.2924,0.22757034890499608
43,2024-06-10 11:48:20,2024-06-10 11:48:47,2024-06-10 11:48:33.500,83.6963,200,1.5494,1.3153,0.24845980151952168
44,2024-06-10 11:49:16,2024-06-10 11:51:24,2024-06-10 11:50:20.000,,1000,1.5522,,
45,2024-06-10 11:53:36,2024-06-10 11:54:06,2024-06-10 11:53:51.000,85.5091,180,1.5272,1.2427,0.15575732602765066
46,2024-06-10 11:54:06,2024-06-10 11:54:35,2024-06-10 11:54:20.500,85.1973,180,1.5384,1.2454,0.16186913638170697
47,2024-06-10 11:54:35,2024-06-10 11:54:44,2024-06-10 11:54:39.500,85.5025,180,1.5429,1.2989,0.20201424915063632
48,2024-06-10 11:55:05,2024-06-10 11:55:31,2024-06-10 11:55:18.000,85.439,200,1.5468,1.3332,0.23342512799299142
49,2024-06-10 11:55:52,2024-06-10 11:56:16,2024-06-10 11:56:04.000,85.4653,250,1.5628,1.4496,0.3479715025376998
50,2024-06-10 11:56:39,2024-06-10 11:57:06,2024-06-10 11:56:52.500,84.9008,350,1.5487,1.4818,0.40079809400991084
51,2024-06-10 11:57:08,2024-06-10 11:57:17,2024-06-10 11:57:12.500,85.9429,350,1.5393,1.3996,0.2848697163702437
52,2024-06-10 11:57:36,2024-06-10 11:57:59,2024-06-10 11:57:47.500,84.6576,450,1.5663,1.6747,0.6699844620605973
53,2024-06-10 11:58:33,2024-06-10 11:59:08,2024-06-10 11:58:50.500,85.2551,600,1.5546,1.3463,0.24908321582923604
54,2024-06-10 12:02:07,2024-06-10 12:02:39,2024-06-10 12:02:23.000,85.0479,600,1.5335,1.3508,0.25751502725860803
55,2024-06-10 12:02:39,2024-06-10 12:02:59,2024-06-10 12:02:49.000,84.9238,600,1.5128,1.3389,0.2485692434533603
56,2024-06-10 12:03:24,2024-06-10 12:03:45,2024-06-10 12:03:34.500,85.1821,450,1.5331,1.6916,0.6680817707884497
57,2024-06-10 12:04:21,2024-06-10 12:04:50,2024-06-10 12:04:35.500,85.1713,350,1.5514,1.4455,0.351748256708302
58,2024-06-10 12:04:50,2024-06-10 12:04:57,2024-06-10 12:04:53.500,86.0475,350,1.5552,1.4073,0.28978396070989887
59,2024-06-10 12:05:18,2024-06-10 12:05:43,2024-06-10 12:05:30.500,85.9472,250,1.5561,1.4478,0.3326950667389519
60,2024-06-10 12:06:05,2024-06-10 12:06:31,2024-06-10 12:06:18.000,85.9173,200,1.5459,1.3192,0.2123926679154115
61,2024-06-10 12:06:52,2024-06-10 12:07:20,2024-06-10 12:07:06.000,85.3125,180,1.5284,1.1998,0.12518461087890537
62,2024-06-10 12:07:39,2024-06-10 12:08:09,2024-06-10 12:07:54.000,84.8426,200,1.5423,1.3287,0.24042162466141156
63,2024-06-10 12:08:09,2024-06-10 12:08:36,2024-06-10 12:08:22.500,84.7514,200,1.5461,1.326,0.23956081045874617
64,2024-06-10 12:08:36,2024-06-10 12:09:03,2024-06-10 12:08:49.500,85.19,200,1.5489,1.3474,0.2514148069495673
65,2024-06-10 12:09:03,2024-06-10 12:09:31,2024-06-10 12:09:17.000,84.6119,200,1.546,1.3309,0.24686902423959323
